Item,Geog location?,Year,Number of items (by same author). i.e. Photos of different exemplars of the same instrument in the same geographical area,Type (if desc + photo counts as photo as most photos described),Trait,Subtype,Name in native language,Group,Where ,Comments,Notes
498,l'Ogoué-Ivindo province; NE Gabon,,,Photo,honey container,"temporary collection basket, made with leaves",nganda,"Bakoya, DRC","Soengas, 2010",,
539,,,,Description,knife,,pa,"Bakoya, DRC","Soengas, 2010",,
512,l'Ogoué-Ivindo province; NE Gabon,,,Photo,machette,,,"Bakoya, DRC","Soengas, 2010",,
530,,,,Description,machette,,pa,"Bakoya, DRC","Soengas, 2010",,
479,,,,Description,musical bow,,ngadi,"Bakoya, DRC","Soengas, 2010",,
483,Odzala-Kokoua National Park,,,Photo,net,Hunting,di.oti,"Bakoya, DRC","Hammer, Geller-Grimm, Lerp and Reymann, 2015",,
518,,,,Photo,net,Hunting,di.oti,"Bakoya, DRC","Oxford, 2013",,
519,,,,Photo,net,Hunting,di.oti,"Bakoya, DRC","Oxford, 2013",,
520,,,,Photo,net,Hunting,di.oti,"Bakoya, DRC","Oxford, 2013",,
521,,,,Photo,net,Hunting,di.oti,"Bakoya, DRC","Oxford, 2013",,
522,,,,Photo,net,Hunting,di.oti,"Bakoya, DRC","Oxford, 2013",,
523,,,,Photo,net,Hunting,di.oti,"Bakoya, DRC","Oxford, 2013",,
482,Odzala-Kokoua National Park,,,Photo,net ,Hunting,di.oti,"Bakoya, DRC","Hammer, Geller-Grimm, Lerp and Reymann, 2015",,
481,,,,Description,percussion instrument with 2 seeds,l'arbre ukaka Duboscia macrocarpa Bocq. (Tiliaceae),masoku,"Bakoya, DRC","Soengas, 2010",,
467,,,,Photo,resonant sticks,,a.kesi,"Bakoya, DRC","Eppelboin, 2006",,
468,,,,Photo,resonant sticks,,a.kesi,"Bakoya, DRC","Eppelboin, 2006",,
469,,,,Photo,resonant sticks,,a.kesi,"Bakoya, DRC","Eppelboin, 2006",,
480,,,,Description,small drum,tam tam (goblet drum),antumu,"Bakoya, DRC","Soengas, 2010",,
524,,,,Photo,snare,,this one is metallic,"Bakoya, DRC","Soengas, 2010",,
528,,,,Description,snare,cable,waya,"Bakoya, DRC",Fa et al. 2016,,
533,,,,Description,snare,they have both cable snares and vine snares as well as traps where the animals fall into,"apokolo, damatchingo,  idiuku (all of the former have cables); nduma and itanga without cable.","Bakoya, DRC","Soengas, 2010",,
536,,,,Description,snare,glue snare - attached to vine and used to get birds stuck,mbele,"Bakoya, DRC","Soengas, 2010",,
501,l'Ogoué-Ivindo province; NE Gabon,,,Photo,spear,,dikono,"Bakoya, DRC","Soengas, 2010",,
525,,,,Photo,spear,Elephant hunt; metal point with inverted triangle; 15cm long and the whole lance is 92cm,,"Bakoya, DRC","Soengas, 2010",,
535,,,,Description,special crossbow for apes,,debete,"Bakoya, DRC","Soengas, 2010",,
470,,,,Photo,struck beam,"It consists of four segments in a square configuration. As among the other Pygmies, this instrument is struck by several musicians (Soengas 2010).",atchita ,"Bakoya, DRC","Furniss, 2017",,
471,,,,Photo,struck beam,,atchita ,"Bakoya, DRC","Eppelboin, 2006",,
477,,,,Description,struck beam,carré formé par des poutres sur lequel les musiciens frappent avec des bois et où les hommes et femmes dansent,atchita,"Bakoya, DRC","Soengas, 2010",,
537,,,,Description,trap,,la.lamba,"Bakoya, DRC",Fa et al. 2016,,
478,,,,Description,whistle,notched?,namikote,"Bakoya, DRC","Soengas, 2010",,
457,,,,Photo,zither harp,,ngé,"Bakoya, DRC","Eppelboin, 2006",,
458,,,,Photo,zither harp,,ngé,"Bakoya, DRC","Eppelboin, 2006",,
472,,,,Photo,zither harp,"large, idiocorde avec table d’harmonie - much larger than that of the Baka",engue,"Bakoya, DRC","Furniss, 2017; Le Bomin and Mbot, 2012",,
473,,,,Photo,zither harp,large,engue,"Bakoya, DRC","Eppelboin, 2006; Le Bomin and Mbot, 2012",,
474,,,,Photo,zither harp,large,engue,"Bakoya, DRC","Eppelboin, 2006; Le Bomin and Mbot, 2012",,
475,,,,Photo,zither harp,large,engue,"Bakoya, DRC","Eppelboin, 2006; Le Bomin and Mbot, 2012",,
476,,,,Photo,zither harp,large,engue,"Bakoya, DRC","Eppelboin, 2006; Le Bomin and Mbot, 2012",,
542,Burundi,,,Photo,arrow,,,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
544,Ngozi,1960,,,flute,,umwirongi,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
545,Ngozi,1960,,,flute,,umwirongi,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
546,Ngozi,1960,,,flute,,umwirongi,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
547,Ngozi,1960,,Photo,lamellaphone,,ikembe,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
543,Muramyva,1935,,Photo,musical bow,,Umuduri,"Batwa (east), Burundi",Africa Museum Collection (Tervuren),,
548,Ngozi,1960,,Photo,musical bow,,umuduri,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
549,Ngozi,1960,,Photo,musical bow,,umuduri,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
540,Burundi,,,Photo,spear,,,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
541,Burundi,,,Photo,spear,,,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
550,Ngozi,1960,,Photo,zither harp,,Inanga,"Batwa (East), Burundi",Africa Museum Collection (Tervuren),,
552,North Kivu,,,Photo,arrow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
553,North Kivu,,,Photo,arrow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
559,North Kivu,,,Photo,arrow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
560,North Kivu,,,Photo,arrow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
561,North Kivu,,,Photo,arrow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
562,North Kivu,,,Photo,arrow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
551,North Kivu,,,Photo,bow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
555,North Kivu,,,Photo,bow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
556,North Kivu,,,Photo,bow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
557,North Kivu,,,Photo,bow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
558,North Kivu,,,Photo,bow,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
554,North Kivu,,,Photo,spear,,,"Batwa (East), DRC",Africa Museum Collection (Tervuren),,
632,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
633,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
637,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
638,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
639,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
640,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
641,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
642,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
643,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
644,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
645,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
646,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
647,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
648,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
649,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
650,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
651,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
652,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
653,Southern province,1986,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
682,Southern province,1991,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
683,Southern province,1991,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
684,Southern province,1991,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
685,Southern province,1991,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
686,Southern province,1991,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
689,Southern province,1991,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
690,Southern province,1991,,Photo,ankle bells,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
586,Northern Province,,,Photo,arrow,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
587,Northern Province,1975,,Photo,arrow,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
576,,1973,,Photo,basket,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
581,Northern Province,,,Photo,basket,it has a rim at least ,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
582,Northern Province,1973,,Photo,basket,it has a rim at least ,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
583,Northern Province,1973,,Photo,basket,it has a rim at least ,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
688,,,,Photo,basket,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
585,Northern Province,,,Photo,bow,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
563,Kabarondo,1973,,Photo,drum,played with stick,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
564,Kabarondo,1973,,Photo,drum,played with stick,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
565,Kabarondo,1973,,Photo,drum,played with stick,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
572,Kabarondo,1973,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
619,Southern province,1986,,Photo,drum,ruharage,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
620,Southern province,1986,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
634,Southern province,1986,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
635,Southern province,1986,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
636,Southern province,1986,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
668,Southern province,1986,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
669,Southern province,1986,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
670,Southern province,1986,,Photo,drum,cylyndrical,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
671,Southern province,1986,,Photo,drum,conical,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
672,Southern province,1986,,Photo,drum,cylyndrical,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
673,Southern province,1986,,Photo,drum,conical,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
674,Southern province,1986,,Photo,drum,cylyndrical,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
675,Southern province,1986,,Photo,drum,cylyndrical,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
676,Southern province,1986,,Photo,drum,cylyndrical,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
680,Southern province,1986,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
681,Southern province,1986,,Photo,drum,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
566,Kabarondo,1973,,Photo,whistle,cylyndrical lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
567,Kabarondo,1973,,Photo,whistle,cylyndrical lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
568,Kabarondo,1973,,Photo,whistle,cylyndrical lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
569,Kabarondo,1973,,Photo,whistle,cylyndrical lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
570,Kabarondo,1973,,Photo,whistle,cylyndrical lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
571,Kabarondo,1973,,Photo,whistle,cylyndrical lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
574,Kabarondo,1973,,Photo,whistle,cylyndrical lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
575,Kabarondo,1973,,Photo,whistle,cylyndrical lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
600,Southern province,1986,,,horn,pumpkin in the end,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
603,Southern province,1986,,,horn,pumpkin in the end,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
613,,,,,horn,pumpkin in the end,ineuragame,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
614,,,,,horn,pumpkin in the end,ineuragame,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
618,Southern province,1986,,,horn,pumpkin in the end,ineuragame,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
622,Southern province,1986,,,horn,pumpkin in the end,ineuragame,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
624,Southern province,1986,,,horn,pumpkin in the end,ineuragame,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
694,,,,Photo,hoe,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
580,,1978,,Photo,horn,pumpkin horn with modulation hole,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
584,Northern Province,,,Photo,lamellaphone,,ikembe,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
621,Southern province,1986,,Photo,horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
623,Southern province,1986,,Photo,horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
657,Southern province,1986,,Photo,horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
658,Southern province,1986,,Photo,horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
659,Southern province,1986,,Photo,horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
660,Southern province,1986,,Photo,horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
679,Southern province,1986,,Photo,horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
588,Ntongwe,,,Photo,lamellaphone,fluvial type,ikembe,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
589,Ntongwe,,,Photo,lamellaphone,fluvial type,ikembe,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
590,Kibayi,,,Photo,lamellaphone,fluvial type,ikembe,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
598,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
602,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
609,Southern province,1986,,Photo,lateral horn,,umurangi,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
610,Southern province,1986,,Photo,lateral horn,,umurangi,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
611,Southern province,1986,,Photo,lateral horn,,umurangi,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
612,Southern province,1986,,Photo,lateral horn,,umurangi,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
615,Southern province,1986,,Photo,lateral horn,,umurangi,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
616,Southern province,1986,,Photo,lateral horn,,umurangi,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
617,Southern province,1986,,Photo,lateral horn,,umurangi,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
661,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
662,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
663,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
664,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
665,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
666,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
667,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
677,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
678,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
687,Kibungu,1991,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
691,Southern province,1986,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
692,Southern province,1987,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
693,Southern province,1988,,Photo,lateral horn,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
695,,,,Photo,mace,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
579,,1978,,Photo,rattle,pumpkin,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
654,Southern province,1986,,Photo,rattle,,ikinyuguli ,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
655,Southern province,1986,,Photo,rattle,,ikinyuguli ,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
656,Southern province,1986,,Photo,rattle,,ikinyuguli ,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
630,Southern province,1986,,Photo,scraper,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
577,,1973,,Photo,sickle,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
573,Kabarondo,1973,,Photo,spear,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
578,Rwanda,,,Photo,spear,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
631,Southern province,1986,,Photo,spear,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
591,Kibayi,,,Photo,whistle,wooden,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
592,Kibayi,,,Photo,whistle,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
593,Kibayi,,,Photo,whistle,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
594,Kibayi,,,Photo,whistle,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
595,Kibayi,,,Photo,whistle,pumpkin,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
596,Southern province,1986,,Photo,whistle,wood,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
597,Southern province,1986,,Photo,whistle,wood,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
599,Southern province,1986,,Photo,whistle,pumpkin,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
601,Southern province,1986,,Photo,whistle,wood,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
604,Southern province,1986,,Photo,whistle,pumpkin,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
605,Southern province,1986,,Photo,whistle,wood,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
606,Southern province,1986,,Photo,whistle,lateral,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
607,Southern province,1986,,Photo,whistle,wood,insengo,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
608,Southern province,1986,,Photo,whistle,wood,insengo,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
625,Southern province,1986,,Photo,zither harp en planche,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
626,Southern province,1986,,Photo,zither harp en planche,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
627,Southern province,1986,,Photo,zither harp en planche,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
628,Southern province,1986,,Photo,zither harp en planche,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
629,Southern province,1986,,Photo,zither harp en planche,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
696,"Lato, Sankuru",1973,,Photo,spear,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
697,"Lato, Sankuru",1973,,Photo,spear,,,"Batwa (East), Rwanda",Africa Museum Collection (Tervuren),,
707,,,,Description,arrow,,ubuta,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
710,,,,Description,basket,,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
702,,,,Description,bells,two tonned,,"Batwa (East), Rwanda","Brandel, 1973",,
708,,,,Description,bow,,imiheto,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
703,,,,Description,drum,single skinned,ngoma,"Batwa (East), Rwanda","Brandel, 1973",,
698,,,,Description,flute,made from stemps of Lobelia sp.,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
699,,,,Description,harp,,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
700,,,,Description,horn,antellope,,"Batwa (East), Rwanda","Brandel, 1973",,
701,,,,Description,horn,cow,,"Batwa (East), Rwanda","Brandel, 1973",,
709,,,,Description,small woven bags,,ubukocho,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
706,,,,Description,spear,,amacumu,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
704,,,,Description,whistle,,,"Batwa (East), Rwanda","Brandel, 1973",,
705,,,,Description,zither harp,two string,,"Batwa (East), Rwanda","Brandel, 1973",,
721,Bwindi impenetrable forest,,,Photo,arrow,,,"Batwa (East), Rwanda","Vice, 2015",,
725,,,,Photo,arrow,,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
726,,,,Photo,arrow,,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
728,,,,Photo,arrow,,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
729,,,,Photo,arrow,,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
733,Bwindi impenetrable forest,,,Photo,arrow,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
735,Bwindi impenetrable forest,,,Photo,arrow,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
742,Bwindi impenetrable forest,,,Photo,arrow,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
746,,,,Description,arrow,,,"Batwa (East), Rwanda","Mukasa, 2012",,
751,,,,Description,arrow,poisoned tips,,"Batwa (East), Rwanda","Mukasa, 2012",,
745,Bwindi impenetrable forest,,,Photo,basket,,,"Batwa (East), Rwanda","Pavitt, 2008",,
720,Bwindi impenetrable forest,,,Photo,bow,,,"Batwa (East), Rwanda","Vice, 2015",,
722,Bwindi impenetrable forest,,,Photo,bow,,,"Batwa (East), Rwanda","Vice, 2015",,
724,,,,Photo,bow,,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
734,Bwindi impenetrable forest,,,Photo,bow,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
736,Bwindi impenetrable forest,,,Photo,bow,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
743,Bwindi impenetrable forest,,,Photo,bow,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
744,Bwindi impenetrable forest,,,Photo,bow,,,"Batwa (East), Rwanda","Pavitt, 2008",,
747,,,,Description,bow,,,"Batwa (East), Rwanda","Mukasa, 2012",,
711,Bwindi impenetrable forest,,,Photo,drum,"Conical, played with sticks",,"Batwa (East), Rwanda",,,
712,Bwindi impenetrable forest,,,Photo,drum,"Conical, played with sticks",,"Batwa (East), Rwanda",,,
713,Bwindi impenetrable forest,,,Photo,drum,"Conical, played with sticks",,"Batwa (East), Rwanda",,,
714,Bwindi impenetrable forest,,,Photo,drum,"Conical, played with sticks",,"Batwa (East), Rwanda",,,
715,Bwindi impenetrable forest,,,Photo,drum,Smaller,,"Batwa (East), Rwanda","Hoffsi, 2008",,
718,Bwindi impenetrable forest,,,Photo,drum,,,"Batwa (East), Rwanda",,,
719,South west,,,Photo,drum,Conical,,"Batwa (East), Rwanda",,,
716,Bwindi impenetrable forest,,,Photo,harp,6 strings,inanga,"Batwa (East), Rwanda","Hoffsi, 2008; UNPO, 2011",,
732,,,,Photo,machette,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
740,Bwindi impenetrable forest,,,Photo,machette,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
749,,,,Description,machette,,,"Batwa (East), Rwanda","Lewis, 2000",,
750,,,,Description,net,Hunting,,"Batwa (East), Rwanda","Mukasa, 2012",,
727,,,,Photo,sac,"vine, woven - quite distinct",,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
723,Bwindi impenetrable forest,,,Photo,spear,,,"Batwa (East), Rwanda","Vice, 2015",,
731,,,,Photo,spear,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
737,Bwindi impenetrable forest,,,Photo,spear,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
738,Bwindi impenetrable forest,,,Photo,spear,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
739,Bwindi impenetrable forest,,,Photo,spear,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
741,Bwindi impenetrable forest,,,Photo,spear,,,"Batwa (East), Rwanda","Vice, 2015: https://www.youtube.com/watch?v=ITzWIBHEPqA",,
730,,,,Photo,trap,,,"Batwa (East), Rwanda",Fauna and Flora International (2013) ,,
748,,,,Description,trap,,,"Batwa (East), Rwanda","Mukasa, 2012",,
717,Bwindi impenetrable forest,,,Photo,whistle,,,"Batwa (East), Rwanda","Hoffsi, 2008",,
755,Lac Leopold II,,,Photo,arrow,,,Batwa (West),Africa Museum Collection (Tervuren),,
756,Lac Leopold II,,,Photo,basket,,,Batwa (West),Africa Museum Collection (Tervuren),,
757,Lac Leopold II,,,Photo,basket,,,Batwa (West),Africa Museum Collection (Tervuren),,
